0,1,2,3,4,5
682,950 sq.ft,2,10.422352532589588,Semifurnished,"17,000"
684,610 sq.ft,1,14.557471278724925,Semifurnished,"15,000"
685,2100 sq.ft,4,7.687123215287745,Semifurnished,"50,000"
687,1400 sq.ft,2,9.05692984295668,Semifurnished,"25,000"
688,601 sq.ft,1,19.09064471626785,Semifurnished,"12,000"
690,3345 sq.ft,4,6.1703942442871025,Semifurnished,2 Lac
692,541 sq.ft,1,19.09064471626785,Semifurnished,"11,000"
693,1100 sq.ft,2,10.422352532589588,Semifurnished,"20,000"
698,1200 sq.ft,3,35.82820107558046,Semifurnished,9000
699,600 sq.ft,1,40.70365250074544,Semifurnished,8500
700,1200 sq.ft,3,138.39689649095146,Semifurnished,"16,000"
703,2134 sq.ft,3,17.974153350174657,Semifurnished,"40,000"
704,600 sq.ft,2,9.176961100944519,Semifurnished,"20,000"
705,1632 sq.ft,4,120.79495678853088,Semifurnished,"20,000"
706,1500 sq.ft,3,6.242075606885513,Semifurnished,"28,000"
708,1680 sq.ft,3,6.984672878827152,Semifurnished,"37,000"
709,600 sq.ft,1,10.422352532589588,Semifurnished,"11,000"
710,700 sq.ft,1,11.062356375469337,Semifurnished,"10,000"
